channel,month,cost,channel_net_revenue,roas,orders
Direct,2026-05-01,0,14813.94,,379
Google Generic Paid Search,2026-05-01,2491.73,5447.72,2.3,130
Google Branded Paid Search,2026-05-01,6082.09,3609.27,0.63,72
Organic Search,2026-05-01,0,1989.29,,37
Email,2026-05-01,50.21,1307.24,27.77,25
Not Assigned,2026-05-01,0,1187.41,,29
Referral,2026-05-01,0,557.92,,10
Meta Paid,2026-05-01,530.22,201.8,0.39,4
Influencer Performance,2026-05-01,2965,133.61,0.05,2
Influencer Brand,2026-05-01,4250,,,
Affiliate,2026-05-01,0,,,
TikTok Paid,2026-05-01,0,,,
